word,count
base de donnees,1
big data,1
machine learning,1
java,1
application,1
analytics,1
python,1
R,1
big data,1
deep learning,1
machine learning,1
vision,1
java,1
hadoop,1
spark,1
mongodb,1
scala,1
tableau,1
sql,1
cassandra,1
python,1
R,1
big data,1
machine learning,1
python,1
R,1
c++,1
nosql,1
R,1
big data,1
deep learning,1
machine learning,1
analytics,1
keras,1
hadoop,1
spark,1
sas,1
nosql,1
sql,1
python,1
R,1
big data,1
website,1
hadoop,1
tableau,1
algorithm,1
cloud,1
python,1
R,1
big data,1
machine learning,1
website,1
arbres,1
sap,1
regression,1
analytics,1
spss,1
hadoop,1
spark,1
sas,1
datamining,1
python,1
excel,1
spss,1
analytics,1
application,1
app,1
big data,1
machine learning,1
java,1
c++,1
hadoop,1
spark,1
sas,1
scala,1
sql,1
python,1
base de donnees,1
big data,1
machine learning,1
.net,1
clustering,1
analytics,1
spark,1
classification,1
application,1
nosql,1
scala,1
app,1
python,1
R,1
big data,1
machine learning,1
sas,1
python,1
big data,1
data mining,1
intelligence artificielle,1
classification,1
analytics,1
R,1
big data,1
.net,1
java,1
mongodb,1
hive,1
ia,1
R,1
big data,1
machine learning,1
.net,1
python,1
big data,1
sql,1
hadoop,1
spark,1
application,1
R,1
application,1
app,1
python,1
R,1
big data,1
machine learning,1
analytics,1
classification,1
application,1
clustering,1
sql,1
app,1
cloud,1
python,1
big data,1
ajax,1
hadoop,1
nosql,1
cassandra,1
python,1
big data,1
machine learning,1
.net,1
angularjs,1
mongodb,1
nosql,1
sql,1
app,1
R,1
big data,1
machine learning,1
hadoop,1
python,1
vision,1
spark,1
R,1
big data,1
data mining,1
deep learning,1
machine learning,1
reseaux de neurones,1
support vector machine,1
arbres,1
regression,1
analytics,1
c++,1
java,1
hadoop,1
sas,1
classification,1
nosql,1
neurones,1
hive,1
R,1
big data,1
deep learning,1
machine learning,1
.net,1
analytics,1
hadoop,1
spark,1
cloud,1
python,1
big data,1
machine learning,1
.net,1
machine learning,1
learn,1
analytics,1
big data,1
data mining,1
